,Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Technology,Ownership,Nameplate Capacity (MW),Plant Balance,Retirement Year,Total Cost of Electricity Excluding ADIT ($/MWh),Current Designation,Predicted Retirement Year,Profits,CF Offset,Owner #1,% Owned #1,Owner #2,% Owned #2,Owner #3,% Owned #3,Owner #4,% Owned #4,Owner #5,% Owned #5
2418,10171,Kentucky Utilities Co,1356.0,Ghent,KY,3,Conventional Steam Coal,S,556.5,,,,Other Remaining,,,,,,,,,,,,,
2419,10171,Kentucky Utilities Co,1356.0,Ghent,KY,4,Conventional Steam Coal,S,556.2,,,,Other Remaining,,,,,,,,,,,,,
2429,11249,Louisville Gas & Electric Co,1364.0,Mill Creek (KY),KY,1,Conventional Steam Coal,S,355.5,,,,2025 Vulnerable,2023.0,,,,,,,,,,,,
2430,11249,Louisville Gas & Electric Co,1364.0,Mill Creek (KY),KY,2,Conventional Steam Coal,S,355.5,,,,2025 Vulnerable,2023.0,,,,,,,,,,,,
2431,11249,Louisville Gas & Electric Co,1364.0,Mill Creek (KY),KY,3,Conventional Steam Coal,S,462.6,,,,Other Remaining,,,,,,,,,,,,,
2432,11249,Louisville Gas & Electric Co,1364.0,Mill Creek (KY),KY,4,Conventional Steam Coal,S,543.6,,,,Other Remaining,,,,,,,,,,,,,
2449,14268,City of Owensboro - (KY),1374.0,Elmer Smith,KY,1,Conventional Steam Coal,S,163.2,,,,,,,,,,,,,,,,,
2450,14268,City of Owensboro - (KY),1374.0,Elmer Smith,KY,2,Conventional Steam Coal,S,282.1,,,,,,,,,,,,,,,,,
2463,18642,Tennessee Valley Authority,1378.0,Paradise,KY,3,Conventional Steam Coal,S,1150.2,,,,,,,,,,,,,,,,,
2468,18642,Tennessee Valley Authority,1379.0,Shawnee,KY,1,Conventional Steam Coal,S,175.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
2469,18642,Tennessee Valley Authority,1379.0,Shawnee,KY,2,Conventional Steam Coal,S,175.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
2470,18642,Tennessee Valley Authority,1379.0,Shawnee,KY,3,Conventional Steam Coal,S,175.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
2471,18642,Tennessee Valley Authority,1379.0,Shawnee,KY,4,Conventional Steam Coal,S,175.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
2472,18642,Tennessee Valley Authority,1379.0,Shawnee,KY,5,Conventional Steam Coal,S,175.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
2473,18642,Tennessee Valley Authority,1379.0,Shawnee,KY,6,Conventional Steam Coal,S,175.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
2474,18642,Tennessee Valley Authority,1379.0,Shawnee,KY,7,Conventional Steam Coal,S,175.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
2475,18642,Tennessee Valley Authority,1379.0,Shawnee,KY,8,Conventional Steam Coal,S,175.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
2476,18642,Tennessee Valley Authority,1379.0,Shawnee,KY,9,Conventional Steam Coal,S,175.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
2483,1692,Big Rivers Electric Corp,1381.0,Kenneth C Coleman,KY,1,Conventional Steam Coal,S,205.0,,,,,,,,,,,,,,,,,
2484,1692,Big Rivers Electric Corp,1381.0,Kenneth C Coleman,KY,2,Conventional Steam Coal,S,205.0,,,,,,,,,,,,,,,,,
2485,1692,Big Rivers Electric Corp,1381.0,Kenneth C Coleman,KY,3,Conventional Steam Coal,S,192.0,,,,,,,,,,,,,,,,,
2486,1692,Big Rivers Electric Corp,1382.0,HMP&L Station Two Henderson,KY,1,Conventional Steam Coal,W,200.0,,,,,,,,Henderson City Utility Comm,1.0,,,,,,,,
2487,1692,Big Rivers Electric Corp,1382.0,HMP&L Station Two Henderson,KY,2,Conventional Steam Coal,W,205.0,,,,,,,,Henderson City Utility Comm,1.0,,,,,,,,
2488,1692,Big Rivers Electric Corp,1383.0,Robert A Reid,KY,1,Conventional Steam Coal,S,96.0,,,,,,,,,,,,,,,,,
2490,5580,"East Kentucky Power Coop, Inc",1384.0,Cooper,KY,1,Conventional Steam Coal,S,113.6,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
2491,5580,"East Kentucky Power Coop, Inc",1384.0,Cooper,KY,2,Conventional Steam Coal,S,230.4,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
2503,11241,Entergy Louisiana LLC,1393.0,R S Nelson,LA,6,Conventional Steam Coal,J,614.6,,,,2025 Vulnerable,2030.0,,-25.0,Entergy Louisiana LLC,0.4025,Entergy Texas Inc.,0.2975,EAM Nelson Holding LLC,0.109,,,,
2636,60415,"CP Crane Power, LLC",1552.0,"CP Crane Power, LLC",MD,1,Conventional Steam Coal,S,190.4,,,,,,,,,,,,,,,,,
2637,60415,"CP Crane Power, LLC",1552.0,"CP Crane Power, LLC",MD,2,Conventional Steam Coal,S,209.4,,,,,,,,,,,,,,,,,
2641,60422,H.A. Wagner LLC,1554.0,Herbert A Wagner,MD,2,Conventional Steam Coal,S,136.0,,,,Announced,,,,,,,,,,,,,
2642,60422,H.A. Wagner LLC,1554.0,Herbert A Wagner,MD,3,Conventional Steam Coal,S,359.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
2681,12628,NRG Chalk Point LLC,1571.0,Chalk Point LLC,MD,ST1,Conventional Steam Coal,S,364.0,,,,,,,,,,,,,,,,,
2682,12628,NRG Chalk Point LLC,1571.0,Chalk Point LLC,MD,ST2,Conventional Steam Coal,S,364.0,,,,,,,,,,,,,,,,,
2683,12653,GenOn Mid-Atlantic LLC,1572.0,Dickerson,MD,2,Conventional Steam Coal,S,196.0,,,,,,,,,,,,,,,,,
2684,12653,GenOn Mid-Atlantic LLC,1572.0,Dickerson,MD,3,Conventional Steam Coal,S,196.0,,,,,,,,,,,,,,,,,
2688,12653,GenOn Mid-Atlantic LLC,1572.0,Dickerson,MD,ST1,Conventional Steam Coal,S,196.0,,,,,,,,,,,,,,,,,
2695,12653,GenOn Mid-Atlantic LLC,1573.0,Morgantown Generating Plant,MD,ST1,Conventional Steam Coal,S,626.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
2696,12653,GenOn Mid-Atlantic LLC,1573.0,Morgantown Generating Plant,MD,ST2,Conventional Steam Coal,S,626.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
2813,4254,Consumers Energy Co,1702.0,Dan E Karn,MI,1A,Conventional Steam Coal,S,136.0,,,,,,,,,,,,,,,,,
2814,4254,Consumers Energy Co,1702.0,Dan E Karn,MI,1B,Conventional Steam Coal,S,136.0,,,,,,,,,,,,,,,,,
2815,4254,Consumers Energy Co,1702.0,Dan E Karn,MI,2A,Conventional Steam Coal,S,136.0,,,,,,,,,,,,,,,,,
2816,4254,Consumers Energy Co,1702.0,Dan E Karn,MI,2B,Conventional Steam Coal,S,136.0,,,,,,,,,,,,,,,,,
2832,4254,Consumers Energy Co,1710.0,J H Campbell,MI,1,Conventional Steam Coal,S,265.2,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
2833,4254,Consumers Energy Co,1710.0,J H Campbell,MI,2,Conventional Steam Coal,S,378.8,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
2834,4254,Consumers Energy Co,1710.0,J H Campbell,MI,3,Conventional Steam Coal,J,916.8,,,,2025 Vulnerable,2028.0,,,Consumers Energy Co,0.9331,,,,,,,,
2875,5109,DTE Electric Company,1733.0,Monroe (MI),MI,1,Conventional Steam Coal,S,817.2,,,,Other Remaining,,,,,,,,,,,,,
2876,5109,DTE Electric Company,1733.0,Monroe (MI),MI,2,Conventional Steam Coal,S,822.6,,,,Other Remaining,,,,,,,,,,,,,
2877,5109,DTE Electric Company,1733.0,Monroe (MI),MI,3,Conventional Steam Coal,S,822.6,,,,Other Remaining,,,,,,,,,,,,,
2878,5109,DTE Electric Company,1733.0,Monroe (MI),MI,4,Conventional Steam Coal,S,817.2,,,,Other Remaining,,,,,,,,,,,,,
2906,5109,DTE Electric Company,1740.0,River Rouge,MI,3,Conventional Steam Coal,S,358.1,,,,,,,,,,,,,,,,,
2916,5109,DTE Electric Company,1743.0,St Clair,MI,1,Conventional Steam Coal,S,168.7,,,,,,,,,,,,,,,,,
2920,5109,DTE Electric Company,1743.0,St Clair,MI,2,Conventional Steam Coal,S,156.2,,,,,,,,,,,,,,,,,
2921,5109,DTE Electric Company,1743.0,St Clair,MI,3,Conventional Steam Coal,S,156.2,,,,,,,,,,,,,,,,,
2922,5109,DTE Electric Company,1743.0,St Clair,MI,6,Conventional Steam Coal,S,352.7,,,,,,,,,,,,,,,,,
2923,5109,DTE Electric Company,1743.0,St Clair,MI,7,Conventional Steam Coal,S,544.5,,,,,,,,,,,,,,,,,
2928,5109,DTE Electric Company,1745.0,Trenton Channel,MI,9,Conventional Steam Coal,S,535.5,,,,,,,,,,,,,,,,,
3043,20847,Wisconsin Electric Power Co,1769.0,Presque Isle,MI,5,Conventional Steam Coal,S,90.0,,,,,,,,,,,,,,,,,
3044,20847,Wisconsin Electric Power Co,1769.0,Presque Isle,MI,6,Conventional Steam Coal,S,90.0,,,,,,,,,,,,,,,,,
3045,20847,Wisconsin Electric Power Co,1769.0,Presque Isle,MI,7,Conventional Steam Coal,S,90.0,,,,,,,,,,,,,,,,,
3046,20847,Wisconsin Electric Power Co,1769.0,Presque Isle,MI,8,Conventional Steam Coal,S,90.0,,,,,,,,,,,,,,,,,
3047,20847,Wisconsin Electric Power Co,1769.0,Presque Isle,MI,9,Conventional Steam Coal,S,90.0,,,,,,,,,,,,,,,,,
3082,7483,City of Grand Haven - (MI),1825.0,J B Sims,MI,3,Conventional Steam Coal,S,80.0,,,,,,,,,,,,,,,,,
3092,56155,Lansing Board of Water and Light,1831.0,Eckert Station,MI,4,Conventional Steam Coal,S,80.0,,,,Announced,,,,,,,,,,,,,
3093,56155,Lansing Board of Water and Light,1831.0,Eckert Station,MI,5,Conventional Steam Coal,S,80.0,,,,Announced,,,,,,,,,,,,,
3094,56155,Lansing Board of Water and Light,1831.0,Eckert Station,MI,6,Conventional Steam Coal,S,80.0,,,,Announced,,,,,,,,,,,,,
3095,56155,Lansing Board of Water and Light,1832.0,Erickson Station,MI,1,Conventional Steam Coal,S,154.7,,,,Announced,,,,,,,,,,,,,
3099,11701,City of Marquette - (MI),1843.0,Shiras,MI,1,Conventional Steam Coal,S,12.5,,,,Announced,,,,,,,,,,,,,
3100,11701,City of Marquette - (MI),1843.0,Shiras,MI,2,Conventional Steam Coal,S,21.0,,,,,,,,,,,,,,,,,
3101,11701,City of Marquette - (MI),1843.0,Shiras,MI,3,Conventional Steam Coal,S,44.0,,,,,,,,,,,,,,,,,
3192,12647,"ALLETE, Inc.",1893.0,Clay Boswell,MN,1,Conventional Steam Coal,S,75.0,13760057.96,2024.0,38.56103196,,,,,,,,,,,,,,
3193,12647,"ALLETE, Inc.",1893.0,Clay Boswell,MN,2,Conventional Steam Coal,S,75.0,12447539.91,2024.0,37.3686705,,,,,,,,,,,,,,
3194,12647,"ALLETE, Inc.",1893.0,Clay Boswell,MN,3,Conventional Steam Coal,S,364.5,272943518.6,2034.0,49.22761591,2020 Vulnerable,2030.0,,,,,,,,,,,,
3195,12647,"ALLETE, Inc.",1893.0,Clay Boswell,MN,4,Conventional Steam Coal,J,558.0,396448486.1,2035.0,47.09058519,2020 Vulnerable,2030.0,,,"ALLETE, Inc.",0.8,WPPI Energy,0.2,,,,,,
3248,13781,Northern States Power Co - Minnesota,1915.0,Allen S King,MN,1,Conventional Steam Coal,S,598.4,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
3265,14232,Otter Tail Power Co,1943.0,Hoot Lake,MN,2,Conventional Steam Coal,S,54.4,,,,Announced,,,,,,,,,,,,,
3266,14232,Otter Tail Power Co,1943.0,Hoot Lake,MN,3,Conventional Steam Coal,S,75.0,,,,Announced,,,,,,,,,,,,,
3328,8543,Hibbing Public Utilities Comm,1979.0,Hibbing,MN,3,Conventional Steam Coal,S,10.0,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
3329,8543,Hibbing Public Utilities Comm,1979.0,Hibbing,MN,5,Conventional Steam Coal,S,19.5,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
3330,8543,Hibbing Public Utilities Comm,1979.0,Hibbing,MN,6,Conventional Steam Coal,S,6.4,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
3428,19883,City of Virginia - (MN),2018.0,Virginia,MN,5,Wood/Wood Waste Biomass,S,7.5,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
3429,19883,City of Virginia - (MN),2018.0,Virginia,MN,6,Wood/Wood Waste Biomass,S,18.7,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
3436,20737,Willmar Municipal Utilities,2022.0,Willmar,MN,3,Conventional Steam Coal,S,18.0,,,,,,,,,,,,,,,,,
3506,5860,Empire District Electric Co,2076.0,Asbury,MO,1,Conventional Steam Coal,S,212.8,,,,,,,-43.0,,,,,,,,,,
3507,10000,Kansas City Power & Light Co,2079.0,Hawthorn,MO,5,Conventional Steam Coal,S,594.3,,,,Other Remaining,,,,,,,,,,,,,
3512,10000,Kansas City Power & Light Co,2080.0,Montrose,MO,2,Conventional Steam Coal,S,188.0,,,,,,,-27.0,,,,,,,,,,
3513,10000,Kansas City Power & Light Co,2080.0,Montrose,MO,3,Conventional Steam Coal,S,188.0,,,,,,,-23.0,,,,,,,,,,
3527,56211,KCP&L Greater Missouri Operations Co,2094.0,Sibley,MO,2,Conventional Steam Coal,S,50.0,,,,,,,-2.0,,,,,,,,,,
3528,56211,KCP&L Greater Missouri Operations Co,2094.0,Sibley,MO,3,Conventional Steam Coal,S,419.0,,,,,,,,,,,,,,,,,
3538,19436,Union Electric Co - (MO),2103.0,Labadie,MO,1,Conventional Steam Coal,S,573.7,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
3539,19436,Union Electric Co - (MO),2103.0,Labadie,MO,2,Conventional Steam Coal,S,573.7,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
3540,19436,Union Electric Co - (MO),2103.0,Labadie,MO,3,Conventional Steam Coal,S,621.0,,,,Other Remaining,,,,,,,,,,,,,
3541,19436,Union Electric Co - (MO),2103.0,Labadie,MO,4,Conventional Steam Coal,S,621.0,,,,Other Remaining,,,,,,,,,,,,,
3542,19436,Union Electric Co - (MO),2104.0,Meramec,MO,1,Natural Gas Steam Turbine,S,137.5,,,,Announced,,,,,,,,,,,,,
3543,19436,Union Electric Co - (MO),2104.0,Meramec,MO,2,Natural Gas Steam Turbine,S,137.5,,,,Announced,,,,,,,,,,,,,
3544,19436,Union Electric Co - (MO),2104.0,Meramec,MO,3,Conventional Steam Coal,S,289.0,,,,Announced,,,,,,,,,,,,,
3545,19436,Union Electric Co - (MO),2104.0,Meramec,MO,4,Conventional Steam Coal,S,359.0,,,,Announced,,,,,,,,,,,,,
3556,19436,Union Electric Co - (MO),2107.0,Sioux,MO,1,Conventional Steam Coal,S,549.7,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
3557,19436,Union Electric Co - (MO),2107.0,Sioux,MO,2,Conventional Steam Coal,S,549.7,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
3595,4045,City of Columbia - (MO),2123.0,Columbia (MO),MO,7,Conventional Steam Coal,S,22.0,,,,,,,,,,,,,,,,,
3717,924,"Associated Electric Coop, Inc",2167.0,New Madrid,MO,1,Conventional Steam Coal,W,650.0,,,,Other Remaining,,,,City of New Madrid - (MO),1.0,,,,,,,,
3718,924,"Associated Electric Coop, Inc",2167.0,New Madrid,MO,2,Conventional Steam Coal,S,650.0,,,,Other Remaining,,,,,,,,,,,,,
3719,924,"Associated Electric Coop, Inc",2168.0,Thomas Hill,MO,1,Conventional Steam Coal,S,171.7,,,,Other Remaining,,,,,,,,,,,,,
3720,924,"Associated Electric Coop, Inc",2168.0,Thomas Hill,MO,2,Conventional Steam Coal,S,272.0,,,,Other Remaining,,,,,,,,,,,,,
3721,924,"Associated Electric Coop, Inc",2168.0,Thomas Hill,MO,3,Conventional Steam Coal,S,738.0,,,,Other Remaining,,,,,,,,,,,,,
3845,6779,City of Fremont - (NE),2240.0,Lon Wright,NE,6,Conventional Steam Coal,S,16.5,,,,2025 Vulnerable,2029.0,,-26.0,,,,,,,,,,
3846,6779,City of Fremont - (NE),2240.0,Lon Wright,NE,7,Conventional Steam Coal,S,22.0,,,,2025 Vulnerable,2029.0,,-36.0,,,,,,,,,,
3847,6779,City of Fremont - (NE),2240.0,Lon Wright,NE,8,Conventional Steam Coal,S,91.5,,,,2025 Vulnerable,2029.0,-2.0,-29.0,,,,,,,,,,
3888,13337,Nebraska Public Power District,2277.0,Sheldon,NE,1,Conventional Steam Coal,S,108.8,,,,2020 Vulnerable,2020.0,,-19.0,,,,,,,,,,
3889,13337,Nebraska Public Power District,2277.0,Sheldon,NE,2,Conventional Steam Coal,S,119.9,,,,Announced,,,-4.0,,,,,,,,,,
3897,14127,Omaha Public Power District,2291.0,North Omaha,NE,4,Conventional Steam Coal,S,136.0,,,,Announced,,,,,,,,,,,,,
3898,14127,Omaha Public Power District,2291.0,North Omaha,NE,5,Conventional Steam Coal,S,217.6,,,,Announced,,,,,,,,,,,,,
4043,15472,Public Service Co of NH,2364.0,Merrimack,NH,1,Conventional Steam Coal,S,113.6,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
4044,15472,Public Service Co of NH,2364.0,Merrimack,NH,2,Conventional Steam Coal,S,345.6,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
4047,15472,Public Service Co of NH,2367.0,Schiller,NH,4,Conventional Steam Coal,S,50.0,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
4049,15472,Public Service Co of NH,2367.0,Schiller,NH,6,Conventional Steam Coal,S,50.0,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
4053,55768,RC Cape May Holdings LLC,2378.0,B L England,NJ,2,Conventional Steam Coal,S,163.2,,,,Announced,,,,,,,,,,,,,
4109,803,Arizona Public Service Co,2442.0,Four Corners,NM,4,Conventional Steam Coal,J,818.1,,,,2025 Vulnerable,2031.0,,,Arizona Public Service Co,0.63,Public Service Co of NM,0.13,,,,,,
4110,803,Arizona Public Service Co,2442.0,Four Corners,NM,5,Conventional Steam Coal,J,818.1,,,,2025 Vulnerable,2031.0,,,Arizona Public Service Co,0.63,Public Service Co of NM,0.13,,,,,,
4121,15473,Public Service Co of NM,2451.0,San Juan,NM,1,Conventional Steam Coal,J,369.0,,,,2020 Vulnerable,2022.0,,,Public Service Co of NM,0.5,Tucson Electric Power Co,0.5,,,,,,
4122,15473,Public Service Co of NM,2451.0,San Juan,NM,4,Conventional Steam Coal,J,555.0,,,,2020 Vulnerable,2022.0,,,City of Anaheim - (CA),0.1004,Public Service Co of NM,0.3849,MSR Public Power Agency,0.2871,,,,
4273,22125,"Cayuga Operating Company, LLC",2535.0,Cayuga Operating Company,NY,1,Conventional Steam Coal,S,155.3,,,,,,,,,,,,,,,,,
4274,22125,"Cayuga Operating Company, LLC",2535.0,Cayuga Operating Company,NY,2,Conventional Steam Coal,S,167.2,,,,,,,,,,,,,,,,,
4304,13579,Dunkirk Power LLC,2554.0,Dunkirk Generating Plant,NY,1,Conventional Steam Coal,W,96.0,,,,,,,,"NRG Energy, Inc",1.0,,,,,,,,
4305,13579,Dunkirk Power LLC,2554.0,Dunkirk Generating Plant,NY,2,Conventional Steam Coal,W,96.0,,,,,,,,"NRG Energy, Inc",1.0,,,,,,,,
4306,13579,Dunkirk Power LLC,2554.0,Dunkirk Generating Plant,NY,3,Conventional Steam Coal,W,217.6,,,,,,,,"NRG Energy, Inc",1.0,,,,,,,,
4307,13579,Dunkirk Power LLC,2554.0,Dunkirk Generating Plant,NY,ST4,Conventional Steam Coal,W,217.6,,,,,,,,"NRG Energy, Inc",1.0,,,,,,,,
4534,3046,Duke Energy Progress - (NC),2706.0,Asheville,NC,1,Conventional Steam Coal,S,206.6,61287862.34,2027.0,75.3286039,Announced,,,,,,,,,,,,,
4535,3046,Duke Energy Progress - (NC),2706.0,Asheville,NC,2,Conventional Steam Coal,S,207.0,36296986.9,2027.0,72.80090472,Announced,,,,,,,,,,,,,
4550,3046,Duke Energy Progress - (NC),2712.0,Roxboro,NC,1,Conventional Steam Coal,S,410.8,173427042.7,2028.0,75.54048643,2020 Vulnerable,2028.0,,,,,,,,,,,,
4551,3046,Duke Energy Progress - (NC),2712.0,Roxboro,NC,2,Conventional Steam Coal,S,657.0,174762182.5,2028.0,49.26883084,2020 Vulnerable,2028.0,,,,,,,,,,,,
4552,3046,Duke Energy Progress - (NC),2712.0,Roxboro,NC,3,Conventional Steam Coal,S,745.2,306916457.5,2033.0,64.93151184,2025 Vulnerable,2030.0,,,,,,,,,,,,
4553,3046,Duke Energy Progress - (NC),2712.0,Roxboro,NC,4,Conventional Steam Coal,S,745.2,108930437.4,2033.0,50.20695361,2025 Vulnerable,2030.0,,,,,,,,,,,,
4565,5416,"Duke Energy Carolinas, LLC",2718.0,G G Allen,NC,1,Conventional Steam Coal,S,163.2,,,,Announced,,,,,,,,,,,,,
4566,5416,"Duke Energy Carolinas, LLC",2718.0,G G Allen,NC,2,Conventional Steam Coal,S,163.2,,,,Announced,,,,,,,,,,,,,
4567,5416,"Duke Energy Carolinas, LLC",2718.0,G G Allen,NC,3,Conventional Steam Coal,S,272.0,,,,Announced,,,,,,,,,,,,,
4568,5416,"Duke Energy Carolinas, LLC",2718.0,G G Allen,NC,4,Conventional Steam Coal,S,278.0,,,,2020 Vulnerable,2026.0,,,,,,,,,,,,
4569,5416,"Duke Energy Carolinas, LLC",2718.0,G G Allen,NC,5,Conventional Steam Coal,S,272.0,,,,2020 Vulnerable,2026.0,,,,,,,,,,,,
4576,5416,"Duke Energy Carolinas, LLC",2721.0,James E. Rogers Energy Complex,NC,5,Conventional Steam Coal,S,621.0,277951610.3,2032.0,123.5337868,2020 Vulnerable,2030.0,,,,,,,,,,,,
4577,5416,"Duke Energy Carolinas, LLC",2721.0,James E. Rogers Energy Complex,NC,6,Conventional Steam Coal,S,909.5,1640063664.0,2048.0,119.9815344,Other Remaining,,,,,,,,,,,,,
4588,5416,"Duke Energy Carolinas, LLC",2727.0,Marshall (NC),NC,1,Conventional Steam Coal,S,348.5,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
4589,5416,"Duke Energy Carolinas, LLC",2727.0,Marshall (NC),NC,2,Conventional Steam Coal,S,348.5,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
4590,5416,"Duke Energy Carolinas, LLC",2727.0,Marshall (NC),NC,3,Conventional Steam Coal,S,711.0,,,,Other Remaining,,,,,,,,,,,,,
4591,5416,"Duke Energy Carolinas, LLC",2727.0,Marshall (NC),NC,4,Conventional Steam Coal,S,711.0,,,,Other Remaining,,,,,,,,,,,,,
4637,12199,Montana-Dakota Utilities Co,2790.0,R M Heskett,ND,1,Conventional Steam Coal,S,40.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
4638,12199,Montana-Dakota Utilities Co,2790.0,R M Heskett,ND,2,Conventional Steam Coal,S,75.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
4651,1307,Basin Electric Power Coop,2817.0,Leland Olds,ND,1,Conventional Steam Coal,S,216.0,,,,Other Remaining,,,,,,,,,,,,,
4652,1307,Basin Electric Power Coop,2817.0,Leland Olds,ND,2,Conventional Steam Coal,S,440.0,,,,Other Remaining,,,,,,,,,,,,,
4653,12658,"Minnkota Power Coop, Inc",2823.0,Milton R Young,ND,1,Conventional Steam Coal,S,257.0,,,,Other Remaining,,,,,,,,,,,,,
4654,12658,"Minnkota Power Coop, Inc",2823.0,Milton R Young,ND,2,Conventional Steam Coal,W,477.0,,,,Other Remaining,,,,Square Butte Electrical Cooperative,1.0,,,,,,,,
4655,58620,AEP Generation Resources Inc,2828.0,Cardinal,OH,1,Conventional Steam Coal,S,615.2,,,,Announced,,,,,,,,,,,,,
4656,58620,AEP Generation Resources Inc,2828.0,Cardinal,OH,2,Conventional Steam Coal,W,615.2,,,,2025 Vulnerable,,,,"Buckeye Power, Inc",1.0,,,,,,,,
4657,58620,AEP Generation Resources Inc,2828.0,Cardinal,OH,3,Conventional Steam Coal,W,650.0,,,,2025 Vulnerable,,,,"Buckeye Power, Inc",1.0,,,,,,,,
4664,59919,Dynegy Miami Fort,2832.0,Miami Fort,OH,7,Conventional Steam Coal,S,557.1,,,,2025 Vulnerable,,,,,,,,,,,,,
4665,59919,Dynegy Miami Fort,2832.0,Miami Fort,OH,8,Conventional Steam Coal,S,557.7,,,,2025 Vulnerable,,,,,,,,,,,,,
4671,14165,NRG Power Midwest LP,2836.0,Avon Lake,OH,9,Conventional Steam Coal,S,680.0,,,,Announced,,,,,,,,,,,,,
4673,58620,AEP Generation Resources Inc,2840.0,Conesville,OH,4,Conventional Steam Coal,J,841.5,,,,,,,,Dayton Power & Light Co,0.165,Dynegy,0.4,AEP Generation Resources Inc,0.435,,,,
4674,58620,AEP Generation Resources Inc,2840.0,Conesville,OH,5,Conventional Steam Coal,S,443.9,,,,,,,,,,,,,,,,,
4675,58620,AEP Generation Resources Inc,2840.0,Conesville,OH,6,Conventional Steam Coal,S,443.9,,,,,,,,,,,,,,,,,
4684,4922,Dayton Power & Light Co,2850.0,J M Stuart,OH,2,Conventional Steam Coal,J,610.2,,,,,,,,AES Ohio Generation LLC,0.35,AEP Generation Resources Inc,0.26,"Dynegy Energy Services, LLC",0.39,,,,
4685,4922,Dayton Power & Light Co,2850.0,J M Stuart,OH,3,Conventional Steam Coal,J,610.2,,,,,,,,AES Ohio Generation LLC,0.35,AEP Generation Resources Inc,0.26,"Dynegy Energy Services, LLC",0.39,,,,
4686,4922,Dayton Power & Light Co,2850.0,J M Stuart,OH,4,Conventional Steam Coal,J,610.2,,,,,,,,AES Ohio Generation LLC,0.35,"Dynegy Energy Services, LLC",0.39,126 Grove Solar LLC,0.26,,,,
4710,6526,FirstEnergy Generation Corp,2866.0,FirstEnergy W H Sammis,OH,1,Conventional Steam Coal,S,190.4,,,,,,,,,,,,,,,,,
4711,6526,FirstEnergy Generation Corp,2866.0,FirstEnergy W H Sammis,OH,2,Conventional Steam Coal,S,190.4,,,,,,,,,,,,,,,,,
4712,6526,FirstEnergy Generation Corp,2866.0,FirstEnergy W H Sammis,OH,3,Conventional Steam Coal,S,190.4,,,,,,,,,,,,,,,,,
4713,6526,FirstEnergy Generation Corp,2866.0,FirstEnergy W H Sammis,OH,4,Conventional Steam Coal,S,190.4,,,,,,,,,,,,,,,,,
4714,6526,FirstEnergy Generation Corp,2866.0,FirstEnergy W H Sammis,OH,5,Conventional Steam Coal,S,334.0,,,,,,,,,,,,,,,,,
4715,6526,FirstEnergy Generation Corp,2866.0,FirstEnergy W H Sammis,OH,6,Conventional Steam Coal,S,680.0,,,,,,,,,,,,,,,,,
4716,6526,FirstEnergy Generation Corp,2866.0,FirstEnergy W H Sammis,OH,7,Conventional Steam Coal,S,680.0,,,,,,,,,,,,,,,,,
4729,14015,Ohio Valley Electric Corp,2876.0,Kyger Creek,OH,1,Conventional Steam Coal,S,217.3,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
4730,14015,Ohio Valley Electric Corp,2876.0,Kyger Creek,OH,2,Conventional Steam Coal,S,217.3,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
4731,14015,Ohio Valley Electric Corp,2876.0,Kyger Creek,OH,3,Conventional Steam Coal,S,217.3,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
